咖啡,36
念書,36
擅長,36
method,36
課來,36
糾正,36
會簽,36
提過,36
沒錯,36
Physics,36
free,36
不看,36
等到,36
本班,36
過後,36
行銷,36
謝謝,36
強烈,36
下課時,36
給你,36
要是,36
公共,36
真心,36
麥克風,36
大題,36
並非,36
QAQ,36
狀態,36
Case,36
後述,36
反手,36
退休,36
改寫,36
前述,36
相較,36
元件,36
落差,36
強大,36
Programming,36
允許,36
筆者,36
兩周,36
報導,36
寫得,36
偷偷,36
出自,36
GG,35
會以,35
不如,35
醫療,35
標題,35
身為,35
學時,35
往年,35
教學方式,35
Paper,35
Class,35
參考書目,35
雙打,35
書局,35
公佈,35
名單,35
說真的,35
一模一樣,35
創新,35
期限,35
Statistical,35
八卦,35
除此之外,35
提升,35
刁鑽,35
錄影,35
難看,35
作業成績,35
平等,35
催眠,35
看見,35
後期,35
不及格,35
基因,35
甜度,35
身上,35
Norton,35
有讀,35
醫學,35
集中,35
幾年,35
生氣,34
open,34
English,34
怎麼樣,34
不僅,34
展現,34
改編,34
默寫,34
單字表,34
呵呵,34
還算,34
不高,34
得分,34
來回,34
列印,34
彼此,34
數據,34
隔週,34
篇幅,34
恍神,34
半導體,34
疾病,34
抱怨,34
nice,34
學程,34
寫錯,34
契約,34
事物,34
外加,34
整堂,34
Robert,34
程式碼,34
Properties,34
as,34
沒事,34
只考,34
那次,34
數值,34
linear,34
姿勢,34
聽得懂,34
考到,34
學得,34
授權,34
背誦,34
飲食,34
所說,34
特殊教育,34
位子,34
後悔,33
男生,33
一二,33
明白,33
這時,33
移動,33
Equations,33
System,33
什麼樣,33
彈性,33
更是,33
那天,33
生化,33
失望,33
人類,33
千萬,33
節奏,33
浪費,33
史料,33
改進,33
全英文,33
競賽,33
單打,33
交流,33
積極,33
這部,33
抽到,33
情緒,33
解讀,33
治療,33
游泳,33
倫理,33
唸書,33
科技,33
開給,33
事後,33
底子,33
口述,33
難過,33
考考,33
帶著,33
每課,33
台語,33
交換,33
極度,33
良多,33
散文,33
現況,33
Course,33
Calculus,32
畫圖,32
很慘,32
維持,32
補課,32
比如,32
個經,32
那本,32
瑜珈,32
文學史,32
人工,32
一兩次,32
選舉,32
具備,32
停下來,32
實地,32
學派,32
Ed,32
無限,32
公平,32
專有名詞,32
lecture,32
題庫,32
看得懂,32
中文系,32
放到,32
人類學,32
預期,32
默默,32
不論是,32
會來,32
選文,32
修到,32
用語,32
原來,32
聽過,32
關鍵,32
爭議,32
Models,32
會花,32
熱心,32
加強,32
建構,32
還能,32
精華,32
還在,32
對應,32
極限,32
請教,32
展演,32
不至於,32
問他,32
助詞,32
基本概念,32
效率,32
鑑定,32
增進,32
教課,31
熱愛,31
避免,31
初會,31
開放式,31
一上,31
漢字,31
口語,31
度過,31
權利,31
講評,31
線性,31
六次,31
ok,31
圖形,31
進來,31
幾何,31
有效,31
必修課,31
感情,31
害怕,31
幸運,31
考試成績,31
找出,31
趨勢,31
前後,31
常見,31
帶來,31
效益,31
隔壁,31
微甲,31
女性,31
習作,31
抽象,31
定時,31
當中,31
運算,31
詞彙,31
講演,31
收斂,31
錯過,31
What,31
專長,31
均衡,31
生死,31
評語,31
邀請,31
Functions,31
Reading,31
up,31
就會,31
要件,31
高手,31
指示,31
曲線,30
腦袋,30
體制,30
距離,30
會放,30
占分,30
地形,30
讀熟,30
編排,30
對不起,30
貿易,30
Methods,30
附近,30
十題,30
型態,30
政黨,30
分題,30
有空,30
演戲,30
外系生,30
經原,30
不再,30
來源,30
客觀,30
禁止,30
當成,30
日文課,30
收獲,30
前提,30
好人,30
常會,30
這門課,30
相比,30
道理,30
產生,30
作家,30
立場,30
發表意見,30
認同,30
地點,30
當代,30
篇文章,30
Literature,30
都市,30
臨時,30
Energy,30
學期結束,30
私底下,30
Vector,30
William,30
組成,30
中學,30
考出來,29
頻率,29
Circuits,29
太久,29
大大,29
告知,29
項目,29
New,29
搜尋,29
有點像,29
